instance,baseline_nsgp_mean30
c101,763.92
c102,860.52
c103,906.09
c104,953.03
c105,807.85
c201,1779.29
c202,1795.22
c203,1785.05
c204,1798.44
c205,1802.82
r101,441.14
r102,616.02
r103,650.62
r104,709.54
r105,548.58
r201,1369.84
r202,1427.25
r203,1456.39
r204,1457.96
r205,1456.85
rc101,561.72
rc102,618.53
rc103,667.89
rc104,728.42
rc105,616.16
rc201,1592.88
rc202,1661.76
rc203,1715.02
rc204,1723.89
rc205,1627.95
pr01,570.51
pr02,853.61
pr03,899.89
pr04,1136.79
pr05,1301.6
pr11,622.07
pr12,910.45
pr13,1046.43
pr14,1201.22
pr15,1477.67
