inst      F18     SI  dSI-F18    W-L-T         p |  dF18-NS    W-L-T         p
pr01    +0.09  +2.85    +2.77   26-4-0  3.41e-05 |    +0.09  17-13-0  7.97e-01
c101    +1.63  +1.39    -0.23  17-13-0  8.77e-01 |    +1.63   26-4-0  1.36e-05
c102    +0.82  +1.43    +0.62  17-13-0  1.65e-01 |    +0.82  18-12-0  3.50e-02
c103    +0.53  +0.93    +0.39  16-14-0  2.62e-01 |    +0.53   22-8-0  2.56e-02
c105    +1.38  +2.05    +0.67   23-7-0  9.84e-03 |    +1.38   24-6-0  6.64e-04
r101    +2.72  +2.73    +0.01  13-17-0  5.44e-01 |    +2.72   27-3-0  8.19e-05
r103    +1.24  +3.49    +2.25   26-4-0  1.36e-04 |    +1.24  18-12-0  6.27e-02
r104    +1.11  +2.85    +1.75   28-2-0  4.28e-06 |    +1.11  20-10-0  4.95e-02
r105    +2.72  +3.59    +0.88  18-12-0  1.23e-01 |    +2.72   22-8-0  2.26e-03
rc104   +0.87  +2.30    +1.43  18-12-0  4.07e-02 |    +0.87  20-10-0  1.16e-01
mean    +1.31  +2.36
