instance,choice,heldout_gain_pct,official_gain_pct,W,L,T,p,p_holm,sig,A12,A12_mag
c101,Sga,1.39,1.39,24,6,0,0.000505,0.0152,●,0.810,large
c102,Sga,1.43,1.43,24,6,0,3.9e-05,0.00129,●,0.813,large
c103,Sga,0.93,0.93,20,10,0,0.000608,0.0176,●,0.754,large
c104,Sga,0.53,0.53,17,13,0,0.109,1,,0.600,small
c105,Sga,2.05,2.05,29,1,0,5.59e-09,2.18e-07,●,0.909,large
c201,Sga,0.27,0.27,19,11,0,0.0523,1,,0.557,negligible
c202,Sga,0.09,0.09,15,15,0,0.428,1,,0.562,small
c203,Sga,0.35,0.35,18,12,0,0.237,1,,0.622,small
c204,Sga,0.05,0.05,18,12,0,0.158,1,,0.577,small
c205,Sga,0.05,0.05,15,15,0,0.465,1,,0.580,small
pr01,Sga,2.85,2.85,27,3,0,1.64e-07,6.23e-06,●,0.897,large
pr02,Sga,0.96,0.96,23,7,0,0.00814,0.204,,0.668,medium
pr03,Sga,0.32,0.32,18,12,0,0.416,1,,0.571,small
pr04,Sga,1.17,1.17,18,12,0,0.0427,0.938,,0.643,medium
pr05,Sga,0.75,0.75,21,9,0,0.0293,0.675,,0.654,medium
pr11,Sga,1.52,1.52,24,6,0,0.00237,0.0663,,0.747,large
pr12,Sga,0.86,0.86,18,12,0,0.0699,1,,0.632,small
pr13,backup,-0.14,0.00,12,18,0,0.746,1,,0.471,negligible
pr14,Sga,1.44,1.44,22,8,0,0.00578,0.15,,0.736,large
pr15,Sga,0.17,0.17,15,15,0,0.871,1,,0.543,negligible
r101,Sga,2.73,2.73,24,6,0,5.14e-06,0.000185,●,0.887,large
r102,Sga,1.14,1.14,20,10,0,0.0523,1,,0.667,medium
r103,Sga,3.49,3.49,24,6,0,4.42e-06,0.000164,●,0.872,large
r104,Sga,2.85,2.85,26,4,0,5.14e-06,0.000185,●,0.927,large
r105,Sga,3.59,3.59,25,5,0,9.22e-06,0.000313,●,0.838,large
r201,Sga,0.27,0.27,15,15,0,0.612,1,,0.546,negligible
r202,Sga,0.37,0.37,17,13,0,0.0803,1,,0.638,small
r203,Sga,0.03,0.03,20,10,0,0.0841,1,,0.610,small
r204,Sga,0.00,0.00,3,27,0,0.000163,0.00522,,0.124,large
r205,Sga,0.03,0.03,17,13,0,0.416,1,,0.630,small
rc101,Sga,1.80,1.80,23,7,0,0.00403,0.109,,0.734,large
rc102,Sga,1.52,1.52,19,11,0,0.0128,0.308,,0.664,medium
rc103,Sga,1.16,1.16,19,11,0,0.0606,1,,0.663,medium
rc104,Sga,2.30,2.30,24,6,0,0.000209,0.00648,●,0.830,large
rc105,Sga,0.54,0.54,18,12,0,0.205,1,,0.622,small
rc201,Sga,0.69,0.69,18,12,0,0.105,1,,0.614,small
rc202,Sga,0.42,0.42,19,11,0,0.0427,0.938,,0.616,small
rc203,Sga,0.18,0.18,18,12,0,0.152,1,,0.632,small
rc204,Sga,0.00,0.00,20,10,0,0.642,1,,0.649,medium
rc205,backup,0.00,0.00,-,-,-,nan,nan,,0.500,-
