instance,nsgp_mean30,route_reval500,gap_pct,solver
pr05,1301.60,1451.61,11.53,cuopt
pr15,1477.67,1642.07,11.13,cuopt
pr14,1201.22,1331.86,10.88,cuopt
pr04,1136.79,1256.58,10.54,cuopt
pr03,899.89,991.92,10.23,cuopt
rc104,728.42,798.85,9.67,cuopt
rc103,667.89,726.54,8.78,cuopt
r103,650.62,706.88,8.65,cuopt
rc102,618.53,669.34,8.21,pyvrp
pr13,1046.43,1129.54,7.94,cuopt
r102,616.02,663.04,7.63,cuopt
pr02,853.61,913.31,6.99,cuopt
rc101,561.72,600.00,6.81,cuopt
pr12,910.45,969.12,6.44,cuopt
r105,548.58,583.30,6.33,pyvrp
r104,709.54,753.21,6.15,cuopt
r101,441.14,462.81,4.91,cuopt
rc201,1592.88,1660.42,4.24,pyvrp
rc105,616.16,642.12,4.21,cuopt
rc205,1627.95,1684.52,3.47,cuopt
pr01,570.51,589.72,3.37,cuopt
c103,906.09,936.16,3.32,cuopt
r201,1369.84,1409.57,2.90,cuopt
c104,953.03,979.88,2.82,cuopt
c105,807.85,829.74,2.71,cuopt
pr11,622.07,633.53,1.84,cuopt
rc202,1661.76,1684.55,1.37,cuopt
c102,860.52,862.54,0.23,cuopt
c201,1779.29,1783.44,0.23,cuopt
c203,1785.05,1785.84,0.04,cuopt
r204,1457.96,1456.93,-0.07,pyvrp
c205,1802.82,1796.88,-0.33,cuopt
c204,1798.44,1787.42,-0.61,cuopt
c202,1795.22,1784.04,-0.62,cuopt
r202,1427.25,1418.31,-0.63,cuopt
c101,763.92,758.62,-0.69,cuopt
rc204,1723.89,1710.36,-0.78,cuopt
r205,1456.85,1441.96,-1.02,cuopt
rc203,1715.02,1696.45,-1.08,pyvrp
r203,1456.39,1437.86,-1.27,cuopt
